From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
# ROHAN
59;48;river_large;199;-1;-1;-1;-1;Entwash
59;49;river_large;199;-1;-1;-1;-1;Entwash
59;68;river_large;199;-1;-1;-1;-1;Entwash
61;67;river_large;199;-1;-1;-1;-1;Entwash
61;68;river_large;199;-1;-1;-1;-1;Entwash
82;157;river_large;199;-1;-1;-1;-1;Isen
71;155;river_large;199;-1;-1;-1;-1;Isen
99;182;river_large;199;-1;-1;-1;-1;Anduin_Undeeps
99;185;river_large;199;-1;-1;-1;-1;Anduin_Undeeps
99;187;river_large;199;-1;-1;-1;-1;Anduin_Undeeps
100;185;river_large;199;-1;-1;-1;-1;Anduin_Undeeps
104;191;river_large;199;-1;-1;-1;-1;Anduin_Undeeps
# UNUSED
-1;-1;;-1;-1;-1;-1;-1;
