###########################
#### VALE AND WOOD DNA ####
###########################

aldawini_dwarf_friend_dna = { # Aldawini Dwarf-friend
	portrait_info = {
	genes={ 		
			hair_color={ 63 77 63 77 }
			skin_color={ 60 92 60 92 }
			eye_color={ 234 202 234 202 }
			gene_chin_forward={ "chin_forward_pos" 138 "chin_forward_pos" 140 }
			gene_chin_height={ "chin_height_neg" 105 "chin_height_neg" 126 }
			gene_chin_width={ "chin_width_neg" 124 "chin_width_neg" 121 }
			gene_eye_angle={ "eye_angle_pos" 140 "eye_angle_pos" 140 }
			gene_eye_depth={ "eye_depth_neg" 126 "eye_depth_neg" 118 }
			gene_eye_height={ "eye_height_neg" 117 "eye_height_neg" 117 }
			gene_eye_distance={ "eye_distance_pos" 127 "eye_distance_pos" 134 }
			gene_eye_shut={ "eye_shut_pos" 121 "eye_shut_pos" 122 }
			gene_forehead_angle={ "forehead_angle_neg" 131 "forehead_angle_neg" 117 }
			gene_forehead_brow_height={ "forehead_brow_height_pos" 112 "forehead_brow_height_pos" 171 }
			gene_forehead_roundness={ "forehead_roundness_pos" 187 "forehead_roundness_pos" 169 }
			gene_forehead_width={ "forehead_width_neg" 122 "forehead_width_neg" 122 }
			gene_forehead_height={ "forehead_height_neg" 119 "forehead_height_neg" 119 }
			gene_head_height={ "head_height_pos" 136 "head_height_pos" 167 }
			gene_head_width={ "head_width_pos" 141 "head_width_pos" 177 }
			gene_head_profile={ "head_profile_neg" 154 "head_profile_neg" 88 }
			gene_head_top_height={ "head_top_height_neg" 124 "head_top_height_neg" 124 }
			gene_head_top_width={ "head_top_width_pos" 129 "head_top_width_pos" 129 }
			gene_jaw_angle={ "jaw_angle_pos" 173 "jaw_angle_pos" 130 }
			gene_jaw_forward={ "jaw_forward_neg" 129 "jaw_forward_neg" 118 }
			gene_jaw_height={ "jaw_height_neg" 126 "jaw_height_neg" 126 }
			gene_jaw_width={ "jaw_width_pos" 134 "jaw_width_pos" 134 }
			gene_mouth_corner_depth={ "mouth_corner_depth_neg" 100 "mouth_corner_depth_neg" 120 }
