#####################################
#####################################
#######  					  #######	
####### THE KINGDOM OF GONDOR #######
#######						  #######	
#####################################
#####################################
###
## In order: 
## Gondor Proper
# House of Anárionath, Kings of Gondor
# House of Húrinionath, Stewards of Gondor
# House of Imrazôrionath, Princes of Dol Amroth
# House of Eärnur, Sealords of Lebennin
# House of Ausir, High Lords of Lossarnach
# House of Malandil, High Lords of Lamedon
# House of Olindur, High Lords of Anfalas
# House of Halboron, High Lords of Pinnath Gelin
# House of Minadirionath, Lords of Entyn-i-Onodlo
# House of Rodirionath, Lords of Gardhon Fuir
# House of Anwar, counts of the Eyrn Fuir
# House of Yrchdaugnir, Lords of Doranorien
# House of Linnarion, Lords of Celosien
# House of Arphenian, Lords of Lebennivet
# House of Celebhatol, Lords of Arnach
# House of Imlothiath, Lords of Edhelion
# House of Durthoron, Lords of Anghabar
# House of Celebharn, Lords of Methrast
# House of Heledir, Lords of Tolfalas
# House of Axanturionath, Lords of Tarlang
# House of Brandirion, Lords of Morthond Vale
# House of Gwaihirion, Captains of Isengard
# House of Authrom, Lords of Rhandir
# House of Palantirith, Lords of Serelond

### Houses of Ithilien (Trig TBF)
# House of Alagos, first Lords of Harithilien
# House of Astandurionath, latest Lords of Harithilien
# House of Arandal, Dukes of Cormalthen
# House of Drinbar, lords of the Nindalf
# House of Finnarphen, lords of Henneth Annun
# House of Asgaril, lords of Forithilien
# House of Faedur, Lords of the Ephel Duath
# House of Wilwarin, later rulers of Coruvegil
# House of Coruvegil, rulers of Coruvegil
# House of Curedain, stewards of the stewards
# House of Rian, cadet of Othnir, rulers of Rian between 1200 and 1700
# House of Othnir, Lords of Othnir
# House of Elemmir, Barons of Abad Elemmir
# House of Usuluni, Courtiers of the Dukes of Emyn Arnen
# House of Glorel, Lords of Glorel
# House of Telengaur, Lords of the Harithilien highlands
# House of Faron, First rulers of Porosir and Morvegil
# House of Morvegil, Dukes of Harithilien after the Kinstrife
# House of Nepos, second Dukes of Harithilien, lords of boths sides of the Poros
# House of Tiridon, cadet of Telengaur, later lords of the Haithilien highlands. 

### Houses of Harondor
# House of Orontorion, Lords of Methir
# House of Thavor, Lords of Laer
# House of Surionath, Lords of Neporos
# House of Morinehtar, Lords of Annun
# house of Súldilion
# House of Rumilion
# House of Calambar, Lords of Narthan (Chief Vanity)
# House of Elentirmo
# House of Seregonir
# House of Calionath, Lords of Harfalas
# House of Amdirvel, Lords of Eredir
# House of Noruinif, Lords of Hyarmen
# House of Maethorionath, Lords of Foraegardh

## Border Realms
# House of Telemnarion, Governors of Umbar
# House of Vinginturion, Lords of Arlefnui
# House of Ohtarion, Lords of Tharagrondost
# House of Isilmonir, Lords of Nethos
# House of Calionath, Lords of Harfalas
# Dor Rhúnen Regents

## Minor Houses / Counts
# House of Himelin	
# House of Dalfelena		
# House of Alfirin	
# House of Dúlinn	
# House of Galadeiliant		
# House of Hardion	
# House of Duneglan	
# House of Tinnubar	
# House of Atanatarionath	
# House of An Rosuldrië
# House of Malanath
# House of An Tyliand
# House of Rond Randir
# House of Rond Rendûl
# House of An Andhen
# House of Imristion
# House of An Lontir
# House of Nos Elmo
# House of An Annodrûn

## Unlanded Houses
# House of Dor Giril 
# House of Manthorionath
# Telcontar DNA Characters
# House of Gilthol (Sol Vanity)

## Angmar Start Date ##
# House of Arastil, Governors of the province of Enedhwaith, based in Southern Tharbad
# House of Forchon, Counts of Riverwatch, guarding the fords of the Angren
# House of Túlion, Holders of Lond Daer (or what's left of it)
# House of Handarod, Governors of the province of Andrast, based in Úlond
# House of Orthonn, Stewards of Tharagrondost until the Kinstrife

## Filler

##############################
##### The Kings of Gondor ####
##############################
# House of Anárionath

lineofanarion1 = {
	name = An_arion

	dynasty = dynasty_anarion
	religion = faith_edain
	culture = dunedain
	dna = anarion_dna			  

	father = lineofelendil
	mother = wifeofelendil	

	diplomacy = 4
	martial = 12
	stewardship = 10
	intrigue = 4
	learning = 8

	
	trait = education_stewardship_4
	trait = architect
	trait = unyielding_defender
	trait = calm
	trait = brave
	trait = temperate
	trait = born_on_numenor

	trait = blood_of_numenor_10
	3811.2.12 = {
		birth = yes
	}
	3862.6.6 = {
		add_spouse = wifeofanarion
	}
	3912.1.1 = { #Gondor is established
		effect = {
			set_realm_capital = title:c_osgiliath
			#title:e_gondor = { #Juke note: do this in title history
			#	set_capital_county = title:c_osgiliath
			#}
		}
	}
	4032.4.17 = {
		death = { death_reason = death_battle }
	}
}

wifeofanarion = {
	name = Meledhwen # Wife of Anarion
 		
	religion = faith_edain
	culture = dunedain
	dna = meledhwen_dna	
	female = yes
	stewardship = 10			
	
	trait = education_stewardship_3			
	trait = gregarious			
	trait = greedy		
	trait = paranoid
	trait = beauty_good_3
	trait = born_on_numenor	 

	trait = blood_of_numenor_10
	3814.9.22 = {
		birth = yes		
		effect = {
			learn_language = language_sindarin
		}			
	}
 
	4095.12.19 = {
		death = { death_reason = death_natural_causes } 		
	}
}

lineofanarion2 = {
	name = Elell_ote 

	dynasty = dynasty_anarion
	religion = faith_edain
	culture = dunedain
	female = yes

	father = lineofanarion1
	mother = wifeofanarion				   
	trait = born_on_numenor
	
	trait = blood_of_numenor_10
	3864.1.1 = {
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}				
	}

	4144.2.21 = { # Died at 200		
		death = {	death_reason = death_natural_causes	}
	}
}	

lineofanarion3 = {
	name = Amanie
	dynasty = dynasty_anarion
	religion = faith_edain
	culture = dunedain
	female = yes

	father = lineofanarion1
	mother = wifeofanarion				   

	trait = born_on_numenor
	trait = blood_of_numenor_10
	3878.1.1 = {
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}				
	}

	4164.7.12 = { # Lived to 286	
		death = {	death_reason = death_natural_causes	}
	}
}

lineofanarion4 = {
	name = N_umiel	

	dynasty = dynasty_anarion
	religion = faith_edain
	culture = dunedain
	female = yes

	father = lineofanarion1
	mother = wifeofanarion				   

	

	trait = born_on_numenor
	trait = blood_of_numenor_10
	3890.1.1 = {
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}				
	}

	4169.9.21 = { # 279
		death = {	death_reason = death_natural_causes	}
	}
}	

lineofanarion5 = {
	name = Meneldil # King of Gondor

	dynasty = dynasty_anarion
	religion = faith_edain
	culture = dunedain

	father = lineofanarion1
	mother = wifeofanarion				   

	
	trait = ambitious
	trait = diligent
	trait = gregarious
	trait = education_diplomacy_4
	trait = august

	trait = born_on_numenor
	trait = blood_of_numenor_10
	3910.2.21 = {
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}				
	}
	
	4058.1.1 = {
		effect = { set_culture = culture:gondorian }
	}

	4191.8.2 = {
		death = { death_reason = death_natural_causes }
	}
}

lineofanarion7 = {
	name = Cemendur # King of Gondor

	dynasty = dynasty_anarion
	religion = faith_edain
	culture = gondorian

	father = lineofanarion5

	
	trait = education_stewardship_3
	trait = calm
	trait = temperate
	trait = arrogant


	trait = blood_of_numenor_10
	3991.1.1 = {
		birth = yes
		effect = {
			learn_language = language_sindarin
		}				
	}

	4271.11.20 = {
		death = { death_reason = death_natural_causes }
	}
}	

lineofanarion8 = {
	name = E_a_arendil # King of Gondor

	dynasty = dynasty_anarion
	religion = faith_edain
	culture = gondorian

	father = lineofanarion7

	
	trait = generous
